name,Date,AirTemp,CloudOpacity,Dni10,Dni90,DniMoy,Ghi10,Ghi90,GhiMoy
Meteorological_Prevision_Data,2020-07-16 11:30:00.000000+0000,19,79,0,19,2,93,371,169
Meteorological_Prevision_Data,2020-07-16 11:40:00.000000+0000,19.13,76,0,24,2,93,394,196
Meteorological_Prevision_Data,2020-07-16 11:50:00.000000+0000,19.1,74,0,29,2,93,414,211
Meteorological_Prevision_Data,2020-07-16 12:00:00.000000+0000,19,74,0,34,3,94,430,218
Meteorological_Prevision_Data,2020-07-16 12:10:00.000000+0000,18.9,73,0,38,2,93,443,219
Meteorological_Prevision_Data,2020-07-16 12:20:00.000000+0000,18.87,73,0,44,2,93,454,221
Meteorological_Prevision_Data,2020-07-16 12:30:00.000000+0000,19,73,0,50,3,94,465,226
Meteorological_Prevision_Data,2020-07-16 12:40:00.000000+0000,19.32,71,1,56,3,94,474,237
Meteorological_Prevision_Data,2020-07-16 12:50:00.000000+0000,19.71,69,2,63,4,96,482,253
Meteorological_Prevision_Data,2020-07-16 13:00:00.000000+0000,20,67,2,69,5,102,488,273
Meteorological_Prevision_Data,2020-07-16 13:10:00.000000+0000,20.09,64,3,72,8,113,490,293
Meteorological_Prevision_Data,2020-07-16 13:20:00.000000+0000,20.04,61,3,76,10,125,490,312
Meteorological_Prevision_Data,2020-07-16 13:30:00.000000+0000,20,80,3,49,2,25,440,160
Meteorological_Prevision_Data,2020-07-16 13:40:00.000000+0000,20.29,80,2,161,1,24,544,153
Meteorological_Prevision_Data,2020-07-16 13:50:00.000000+0000,20.25,80,1,203,1,24,578,148
Meteorological_Prevision_Data,2020-07-16 14:00:00.000000+0000,20,81,1,195,1,23,563,145
Meteorological_Prevision_Data,2020-07-16 14:10:00.000000+0000,19.64,80,0,156,0,23,518,143
Meteorological_Prevision_Data,2020-07-16 14:20:00.000000+0000,19.27,80,0,108,0,23,465,142
Meteorological_Prevision_Data,2020-07-16 14:30:00.000000+0000,19,80,0,71,0,23,423,144
Meteorological_Prevision_Data,2020-07-16 14:40:00.000000+0000,18.91,79,0,59,1,22,406,146
Meteorological_Prevision_Data,2020-07-16 14:50:00.000000+0000,18.94,77,0,65,2,22,407,150
Meteorological_Prevision_Data,2020-07-16 15:00:00.000000+0000,19,76,0,75,2,23,410,157
